texto de referencia,Lugar de vivienda (codigo tienda/casa de Jean P.),Lugar de trabajo (codigo tienda/casa de Jean P.),nom privilégié,Prénom privilégié,Variante n°1 du Nom,Variante n°1 du Prénom,Variante n°2 du Nom,Variante nº du Nom,Variante n°2 du Prénom,Titulo,variante n°1 del Titulo,variante n°2 del Titulo,Métier / occupation,variante n°1 del Métier / occupation,variante n°2 del Métier / occupation,ultima religion conocida,fecha cuando se firma el contrato,Citation (sources) - copiar pegar ref abajo de la pagina,Lugar de trabajo (zona/barrio - siglos 13-14-15),Lugar de trabajo (nombre de calle - siglos 13-14-15),Lugar de trabajo (nota - indicaciones localizacion - siglos 13-14-15),Lugar de trabajo (nombre de tienda/casa - siglos 13-14-15),Lugar de trabajo (direccion exacta actual),Lugar de vivienda (zona/barrio - siglos 13-14-15),Lugar de vivienda (nombre de calle - siglos 13-14-15),Lugar de vivienda (nota - indicaciones localizacion - siglos 13-14-15),Lugar de vivienda (nombre tienda/casa - siglos 13-14-15),Lugar de vivienda (direccion exacta actual)
TTOPEDITOR-T-20-BA-MO,,CH_MO_02,González,Martín,,,,,,,,,,,,,17/12/1455,"la partie de Martín González a été baillée à Gonzalo Sorje, sedero",Alcaná/ Alatares,,Situada en la esquina,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_02,Sorje,Gonzalo,,Gonçalo,,,,,,,sedero,,,,17/12/1455,"la partie de Martín González a été baillée à Gonzalo Sorje, sedero/ avec la caution de son frère, Alfonso Sorje",Alcaná/ Alatares,,Situada en la esquina,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_02,Sorje,Gonzalo,,Gonçalo,,,,,,,sedero,,,,02/07/1477,"l'autre partie de la tienda, que esta por sy atajada, a été baillée à Gonzalo Sorje, sedero, pour sa vie et celle de son petit-fils, Gonzalo, fils de Manuel de Toledo/  avec la caution du même Manuel de Toledo",Alcaná/ Alatares,,Situada en la esquina,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_02,Sorje,Gonzalo,,,,,,,,,sedero?/ tendero?,,,,1491,"la tienda que tenait auparavant Gonçalo Sorje et maintenant son petit-fils, Gonzalo",Alcaná/ Alatares,,jouxte de chaque côté des tiendas de la chapelle de don Pedro Tenorio,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_02,de Toledo,García,,,,,,,,,joyero,,,,13/05/1495,"l'autre partie de la tienda, que tenait Manuel de Toledo, pour son fils, Gonzalo Sorje (...)  a été baillée à García de Toledo, joyero/ avec la caution de son père, Alfonso Rodríguez",Alcaná/ Alatares,,,,"Calle de las Cordonerías, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_03,Arroyal,Pedro?,,,,,,,,,,,,,?/01/1380,"la tienda située aux Alatares, entre les tiendas du roi qui ont été faites nouvelles, a été adjugée à Arroyal",Alcaná/ Alatares,Calle de los Latoneros,"la tienda située aux Alatares, entre les tiendas du roi qui ont été faites nouvelles",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_03,López,Juan,,,,,,,,,especiero,boticario,,,01/09/1410,"le chapitre a baillé à Juan López, especiero, une tienda/  avec la caution d'Alfonso Rodríguez, platero, demeurant à S. Juan de la Leche/ l'autre tienda du chapitre située a los Alatares est tenue par Juan López, boticario",Alcaná/ Alatares,Calle de los Latoneros,"une tienda située entre les Alatares, entre les tiendas de l'archevêque et de sa chapelle",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_03,Cota,Diego,,,,,,,,,,,,,19/01/1442,"a été baillée au même Juan López, et à Diego Cota, fils d’Alfonso Martínez Cota, son gendre/  avec la caution de Juan Alfonso Cota, escribano del rey",Alcaná/ Alatares,Calle de los Latoneros,Elle jouxte de chaque côté des tiendas de la chapelle de don Pedro Tenorio,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_03,González,Diego,,,,,,cura de San Nicolás,racionero,,,,,,13/07/1467,"Diego Cota a fait abandon de la tienda qu'il tenait, et le chapitre l'a baillée à Diego González, curé de S. Nicolás et racionero",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_03,Pinto,Pedro,de Pinto,,,,,,,,pintor,,,,21/07/1473,"Diego González, curé de S. Nicolás, ayant désigné (...) son neveu, Pedro Pinto (...) et a donné la caution de Pedro Talami, jubetero",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_03,del Castillo,Rodrigo,,,,,,,,,mercador,,,,12/03/1490,"a été baillée pour 1.500 mrs. à Rodrigo del Castillo, mercador, avec la caution de Diego de Faro et Juan Havete",Alcaná/ Alatares,Calle de los Latoneros,que es como entran por la puerta del Alcana de los çereros a la mano derecha/ jouxte des tiendas de la chapelle de don Pedro Tenorio,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04,Xenteyle,Ali,Xantili,,Xentil,,,,,,especiero,,,musulmán*,23/12/1480,"Ali Xenteyle, moro, tenant une tienda dans l'Alcaná, auparavant tienda del rey, dans la Calle de los Latoneros, pour sa vie et celles de sa femme, Haxa",Alcaná/ Alatares,,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04,,Haxa,,,,,,,,,,,,,23/12/1480,"Ali Xenteyle, moro, tenant une tienda dans l'Alcaná, auparavant tienda del rey, dans la Calle de los Latoneros, pour sa vie et celles de sa femme, Haxa",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04,García,Juan,,,,,,,,,tendero,,,,23/12/1480,"en échange de la maison de Juan García, carnicero",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04,Xenteyle,Mahomad,Xantili,Mahoma,Xentil,,,,,,tendero,,,musulmán*,23/12/1480,"Le 23/12/1480, Ali Xenteyle, moro(...)a donné la caution de son frère, Mahoma Xenteyle",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04,Abcaçi,Abrahen,,,,,,,,,,,,,23/12/1480,"Le 23/12/1480, Ali Xenteyle, moro(...) a donné la caution de son frère, Mahoma Xenteyle, et d'Abrahen Abcaçi, moros",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04,de la Fuente,Rodrigo,,,,,,jurado,,,,,,,10/05/1483,"Le 10/05/1483, devant le capellán mayor de la chapelle de don Pedro Tenorio, le jurado Rodrigo de la Fuente, fils de Diego López de la Fuente, montre que son père tenait dans l'Alcaná (...)",Alcaná/ Alatares,Calle de los Latoneros,"dans l'Alcaná, dans la Calle de los Latoneros, une tienda jouxtant d'une part la tienda que l'on disait del Rey et de l'autre une autre tienda de la chapelle tenue par Pedro, latonero",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04,López,Diego,de la Fuente,,,,,,,,,,,,10/05/1483,Diego López de la Fuente tenait également trois autres tiendas (...),Alcaná/ Alatares,Calle de los Latoneros,"trois autres tiendas en face de la précédente, jointives l'une de l'autre, et jouxtant des deux côtés des tiendas de la chapelle",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04 + CH_MO_05,Xenteyle,Ali,Xantili,,Xentil,,,,,,especiero,,,musulmán*,1486,"deux tiendas dans l'Alcaná qui se trouvent baillées au prix de 3.000 mrs. par an à Ali Xenteyle et  Mahomad Xenteyle, moros moradores à Tolède",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04 + CH_MO_05,Xenteyle,Mahomad,Xantili,Mahoma,Xentil,,,,,,tendero,,,musulmán*,1486,"deux tiendas dans l'Alcaná qui se trouvent baillées au prix de 3.000 mrs. par an à Ali Xenteyle et Mahomad Xenteyle, moros moradores à Tolède",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04,Xenteyle,Ali,Xantili,,Xentil,,,,,,especiero,,,musulmán*,1489,"En 1489, Ali Xenteyle, moro, especiero, avec sa femme doña Haxa, s'engage envers le chapitre pour une tienda à l'Alcaná, dans la Calle de los Latoneros, et il donne la caution de son frère Mahomad Xenteyle et d'Abrahen Alcabci",Alcaná/ Alatares,Calle de los Latoneros,"une tienda à l'Alcaná, dans la Calle de los Latoneros",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04,García,Juan,,,,,,,,,carpintero,,,,1491,"des deux tiendas que la ville a donné en échange de la maison de Juan Garçia, carpintero, la première est tenue par Ali Xantili, moro",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_04,Sorje,Francisco,,,,,,,,,mercador,,,,23/11/1493,"Ali Xenteyle, moro, a fait abandon de la tienda, et le chapitre l'a baillée à Francisco Sorje, mercador (...) avec la caution de Fernando Ortiz, mercador",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Xenteyle,Mahomad,,Mahoma,,,,,,,tendero,,,musulmán*,23/12/1489,Mahoma Xenteyle a passé contrat pour la seconde tienda,Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Xenteyle,Mahomad,,Mahoma,,,,,,,tendero,,,musulmán*,1491,la seconde des deux tiendas données par la ville est tenue par Mahomad Xentil,Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Ortiz,Fernando,,,,,,,,,mercador,,,,24/11/1493," Mahoma Xenteyle a fait abandon au chapitre, qui a baillé la maison à Fernando Ortiz, mercador, et Ana de Arias (...) avec la caution de Francisco Sorje",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Ortiz,Alfonso,,,,,,racionero de la Catedral de Toledo,capellán de la Capilla de San Blas,,,,,,16/08/1414,"Alfonso Ortiz, racionero de l'Église de Tolède et capellán mayor de la chapelle de S. Blas",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Fernández,Pedro,Maymon,,,,,,,,alfayate,,,musulmán ,16/08/1414,"baille à Pedro Fernández Maymon, alfayate, une tienda appartenant à la chapelle, en el Alcaicería (...) avec la caution de son gendre, Juan González",Alcaná/ Alatares,Calle de los Latoneros,"en el Alcaicería, jouxtant une tienda de la chapelle tenue par García Fernández, alfayate, et une tienda que tenait auparavant Yuçaf josero",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,González?,Francisco,,,,,,,,,herrero,,,,31/08/1415,"Alfonso Ortiz, baille à Francisco, herrero, fils de Juan Alfonso de Olías, une tienda de la chapelle située en los Alatares (...)  Juan González, cerrajero. Parmi les témoins figure Alfonso Fernández, alcaide des Alatares",Alcaná/ Alatares,Calle de los Latoneros,"une tienda de la chapelle située en los Alatares, jouxtant une tienda de la chapelle que tient Juan González, carpintero, et une tienda tenue par Rodrigo Alfonso Sevillano",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Mamias,Yuçaf,,,,,,,,,tendero,,,musulmán*,,Yuçaf Mamias qui tenait cette tienda en a fait abandon au capellán mayor,Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,el Moheb,Simuel,,,,,,,,,tendero,,,judío*,11/10/1415,"Alfonso Ortiz baille à Simuel el Moheb, fils de don Çali Moheb, judío, morador à Tolède, une tienda de la chapelle (de S. Blas)",Alcaná/ Alatares,Calle de los Latoneros,"située en el mercado que disen de los Alatares, jouxtant une tienda de la chapelle tenue par Fernand González, alfayate, en face de la Puerta de la Sal",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Molina,Mosé,,,,,,,,,tendero,,,,11/10/1415,"Alfonso Ortiz loue à Mose Molina, fils de don Yuçaf Molina",Alcaná/ Alatares,Calle de los Latoneros,"une tienda situé dans les Alatares, en face d'Alfonso, especiero, dans la Calle de la Tienda del Peso",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Namias,Abrahen,,,,,,,,,tendero,,,,11/10/1415,"Alfonso Ortiz loue à Abrahen Namias, judío, morador à Tolède, une autre tienda située dans le mercado de los Alatares",Alcaná/ Alatares,Calle de los Latoneros,une autre tienda située dans le mercado de los Alatares,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Aben,don Mayr,Crespin,,,,,,,,tendero,,,,19/02/1416,"don Mayr Aben Crespin, judío, morador à Tolède, qui tient une tienda dans les Alatares",Alcaná/ Alatares,Calle de los Latoneros,"jouxtant une tienda tenue par Diego Alfonso Aybari, sedero, et une tienda de Pedro González Aben Tobi, sedero",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,González,Lope,Lanero,,,,,,,,tendero,,,,19/02/1416,"Alfonso Ortiz, capellán, qui, le même jour, baille la tienda à Lope González Lanero",Alcaná/ Alatares,Calle de los Latoneros,,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,González,Pedro,,el Gallo,,,,,,,anzolero,,,,09/05/1416,"Pedro González el Gallo, anzolero, dit qu'il tient à bail une tienda de la chapelle de l'archevêque don Pedro Tenorio",Alcaná/ Alatares,Calle de los Latoneros,dans l'Alcaná,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,López,García,,,,,,,,,trapero,,,,09/05/1416,"il cède cette tienda à García López, trapero",Alcaná/ Alatares,Calle de los Latoneros,dans l'Alcaná,,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,González,Juan,,,,,,,,,alfayate,,,,21/07/1416,"Alfonso Ortiz baille à Juan González, alfayate, gendre de l'amo de Juan González de Sevilla",Alcaná/ Alatares,Calle de los Latoneros,"située dans les Alatares, qui est celle dite de las dos puertas, à côté de la tienda del rey",Tienda de las dos puertas,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,,Ysac,,,,,,,,,latonero,,,,05/08/1416,"Alfonso Ortiz baille à Ysac, latonero, fils de Jacob, latonero, judío, morador à Tolède, une tienda de la chapelle",Alcaná/ Alatares,Calle de los Latoneros,"située dans l'Alcaicería de los Alatares, et dite la tienda de las dos puertas, jouxtant la tienda del rey et une tienda tenue par Alfonso, especiero",Tienda de las dos puertas,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Ardutel,Ysac,,Isaac,,,,,,,latonero?,,,,09/02/1419,"Alfonso Ortiz, capellán mayor de la capilla de San Blas, baille à Ysac Ardutel, judio demeurant à Tolède/ avec la caution de don Mayr Ardutel, père d'Ysac",Alcaná/ Alatares,Calle de los Latoneros,"une tienda de cette chapelle, située en los Alatares, que son açerca de las Cuatro Calles, jouxtant une tienda de la dite chapelle tenue par García López, trapero, et une autre tienda de la chapelle que tient Gonzalo Díaz",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Sánchez,Lope,,,,,,,,,tendero,,,,27/02/1420,"Alfonso Ortiz baille à Lope Sánchez une tienda dans les Alatares, près des Cuatro Calles, jouxtant une tienda de la chapelle que tient Isaac Ardutel",Alcaná/ Alatares,Calle de los Latoneros,"une tienda dans les Alatares, près des Cuatro Calles, jouxtant une tienda de la chapelle que tient Isaac Ardutel",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,,Abdurrahamin,,,,,,,,,tendero,,,,28/09/1420,"Alfonso Ortiz baille à Abdurrahamin, tendero, fils de don Abdalla de San Tomán, moro demeurant à Tolède (...)  avec la caution de Maestre Ali de Ocaña, zapatero, moro demeurant à Tolède",Alcaná/ Alatares,Calle de los Latoneros," une tienda de la chapelle de San Blas, dans les Alatares, situés près des Cuatro Calles (...) cette tienda se trouvant à gauche en entrant par la porte du marché, jouxtant une tienda de la chapelle que tient Pedro González Sevillano, sedero, et une maison tenue par Alfonso Fernández, guarda del mercado",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Martínez,Juan,,,,,,,,,pintor,,,,06/02/1420,"Alfonso Ortiz baille à Juan Martínez, pintor, et María Fernqndez, sa femme, une tienda (...) avec la caution de Diego González de Tavira, de Pedro Sánchez, chapinero, et de Fernand Sánchez de Madrid, pintor",Alcaná/ Alatares,Calle de los Latoneros/ Calle de la Ferrería,"dans la rue dite de la ferreria à gauche en sortant des Alatares, jouxtant d'un côté une tienda de l'église Sto. Tomé tenue par Juan Martínez, herrador, et de l'autre la puerta que disen del Mercado, et au dos de la tienda le corral de Sta. Yuste",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Sánchez,Lope,,,,,,,,,herrero,,,,27/02/1420,"baille à Lope Sánchez, herrero, fils de Lope Sánchez, tendero, une tienda dans les Alatares (...) avec la caution de Lope Sánchez, tendero, père de Lope Sánchez, herrero, et de Juan de la Sal, son frère",Alcaná/ Alatares,Calle de los Latoneros,"une tienda dans les Alatares, près des Cuatro Calles, jouuxtant une tienda de la même chapelle tenue par Ysac Ardutel et une autre tienda de la même chapelle tenue par Juan González Aviñón",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,de Vargas,Rodrigo,,,,,,canónigo,capellán mayor y administrador de la Capilla de San Blas,,,,,,16/02/1439,"le chanoine Rodrigo de Vargas, capellán mayor et administrateur de la chapelle de S. Blas",Alcaná/ Alatares,Calle de los Latoneros,"une tienda située dans l'Alcaná de la ville, aux Alatares (...)  jouxtant une tienda tenue par Martín de Alfaro, especiero, et une tienda que tient Gómez Fernández, sedero",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Rodríguez ,García,de Segura,,,,,,,,especiero,,,,16/02/1439,"baille à García Rodríguez de Segura, especiero",Alcaná/ Alatares,Calle de los Latoneros,"une tienda située dans l'Alcaná de la ville, aux Alatares (...)  jouxtant une tienda tenue par Martín de Alfaro, especiero, et une tienda que tient Gómez Fernández, sedero",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,de la Fuente,Diego,,,,,,,,,mercador,,,,,"dont a fait cession entre ses mains en sa faveur Diego de la Fuente, mercador, qui la tenait auparavant",Alcaná/ Alatares,Calle de los Latoneros,"une tienda située dans l'Alcaná de la ville, aux Alatares (...)  jouxtant une tienda tenue par Martín de Alfaro, especiero, et une tienda que tient Gómez Fernández, sedero",,"Calle de la Sal, nº 9",,,,,
TTOPEDITOR-T-20-BA-MO,,CH_MO_05,Fernánez,García,de Alcalá,,,,,capellán mayor y administrador de la Capilla de don Pedro Tenorio,,,,,,,04/02/1483,"García Fernández de Alcalá, capellán mayor et administrateur de la chapelle de don Pedro Tenorio",Alcaná/ Alatares,Calle de los Latoneros,"l'absence d'éléments de localisation de la tienda, on peut supposer qu'elle se situe dans l'Alcaná",,"Calle de la Sal, nº 9",,,,,
